kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,stringnamagerakan
8,1,8,8,8,8,3,7,7,7,7,7,7,1,2,0,1,1,0,1,1,1,8,8,5,7,7,7,7,7,7,0,5,3,4,5,Dada,Dada,Bingkai
0,3,0,3,2,0,7,7,5,0,3,0,0,0,4,0,0,0,6,6,4,5,7,7,0,7,3,2,3,4,4,5,6,7,3,8,Perut,Kepala,Bingung
7,0,0,5,3,1,7,0,3,0,3,3,0,3,3,0,1,0,0,0,3,4,4,7,7,8,1,1,3,3,5,4,5,6,7,8,Perut,Dada,Bingung
3,0,0,0,0,1,3,1,0,8,0,0,0,0,0,0,5,1,0,5,4,3,4,5,5,6,7,8,8,1,2,2,3,3,4,4,Perut,Kepala,Bingung
3,0,0,5,3,0,0,7,0,0,0,1,0,0,0,3,0,0,0,0,3,3,4,5,5,7,7,8,1,1,2,3,3,4,4,5,Perut,Kepala,Bingung
0,0,5,0,3,1,0,0,0,0,0,0,0,5,1,0,0,0,0,3,3,4,5,6,6,8,1,1,2,2,3,4,4,5,5,7,Perut,Dada,Bingung
0,0,0,0,0,0,7,0,8,0,0,0,5,0,0,0,0,0,3,3,4,5,6,7,7,8,1,1,2,3,4,5,5,6,6,8,Perut,Kepala,Bingung
3,3,5,1,0,7,0,0,0,0,5,3,0,0,0,8,0,0,3,3,4,5,5,7,8,1,2,3,4,4,4,5,6,7,0,8,Perut,Kepala,Bingung
0,0,0,0,0,0,0,3,0,0,0,1,0,0,8,1,0,0,7,7,8,1,2,1,3,3,4,5,5,6,7,1,1,2,3,3,Perut,Kepala,Bingung
0,0,0,0,0,4,0,8,8,0,3,0,0,0,0,0,8,0,0,3,3,3,4,6,7,8,1,2,3,4,5,6,6,8,8,1,Perut,Dada,Bingung
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,5,3,4,4,5,6,7,8,3,1,2,2,3,4,5,6,6,8,Perut,Dada,Bingung
0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,3,0,0,3,3,3,3,4,6,7,7,8,1,1,2,3,4,5,6,7,Perut,Dada,Bingung
