kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],tanganKiri,tanganKanan,SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,stringnamagerakan
0,1,8,8,8,8,7,7,7,7,7,7,4,1,2,1,2,1,8,8,1,1,1,1,7,7,7,7,7,7,5,4,5,5,5,5,Dada,Dada,0.061026235,-0.208148148,-0.068055556,0.093796296,-0.011473765,0.015594136,-0.04378858,-0.222654321,0.038233025,0.085987654,0.005424383,0.018533951,-0.328094136,-0.018063272,2.348236003,0.196067592,0.380468778,-2.218282877,-0.30679468,-1.338677722,0.331306454,Bingkai
1,0,8,8,8,8,8,4,7,7,7,1,1,2,1,1,2,0,1,1,1,1,8,1,8,5,7,7,7,4,4,5,5,5,5,5,Dada,Dada,0.06248536,-0.197807213,-0.054018561,0.120242127,-0.010711014,0.024687958,-0.037479775,-0.214693406,0.01800018,0.1175432,3.50E-05,0.022143931,-0.360453776,-0.019782456,2.359353914,-0.007378581,0.167516434,-2.199442626,0.206380431,-1.75495232,0.361220891,Bingkai
0,3,8,8,8,8,7,7,7,7,7,4,1,1,1,1,1,0,0,1,1,1,8,8,7,7,7,7,7,5,4,5,5,5,5,0,Dada,Dada,0.07479126,-0.171883534,-0.061500516,0.11945117,-0.012797528,0.032907999,-0.065485549,-0.178741484,0.052444449,0.106042867,0.008612085,0.030059554,-0.329457049,-0.018049513,2.312609442,-0.055551505,1.342429007,-2.34427995,-0.170156634,-1.778393423,0.330189684,Bingkai
1,8,8,8,8,7,7,7,7,7,7,7,2,1,1,1,1,0,8,2,1,1,8,1,7,7,7,7,7,7,3,4,5,5,5,5,Dada,Dada,0.090165734,-0.1698317,-0.043257331,0.122252663,-0.01144506,0.034354096,-0.053561331,-0.188733597,0.015079047,0.113561761,-0.002084404,0.028564861,-0.396195569,-0.028848804,2.440160555,-0.386970628,1.254295541,-2.290892521,0.357292475,-1.533360912,0.401490099,Bingkai
2,0,8,8,8,8,8,8,7,7,7,7,7,1,1,1,1,1,5,3,3,8,1,1,1,7,7,7,7,7,7,5,5,4,5,5,Dada,Dada,0.088337937,-0.150550881,-0.038146037,0.122562574,-0.006151252,0.030676503,-0.058710037,-0.184131489,0.018474418,0.118710049,-0.007835678,0.025793468,-0.40878321,-0.029968022,2.36808362,-0.731392875,1.326749018,-2.314589303,0.394664314,-2.332827947,0.410554533,Bingkai
8,0,8,8,8,8,8,3,7,7,7,8,2,1,1,1,1,4,8,0,1,1,1,1,1,6,7,7,7,7,4,4,4,5,5,5,Dada,Dada,0.093146866,-0.172577586,-0.049180668,0.095619261,-0.008214623,0.029306078,-0.067491289,-0.190551027,0.026542033,0.09459777,-0.003979811,0.019827001,-0.401218197,-0.02256942,2.562262077,-0.454659153,1.734400231,-2.317780682,0.489622633,-1.630499159,0.402784875,Bingkai
0,0,8,8,8,8,8,8,7,7,7,7,1,1,1,1,1,2,8,4,1,1,1,1,8,8,7,7,7,7,5,4,4,5,5,5,Dada,Dada,0.104809635,-0.153960488,-0.043310574,0.119044979,-0.008839295,0.035258502,-0.080485869,-0.172515306,0.029626168,0.11707216,0.000167227,0.028328528,-0.411978283,-0.022849151,2.206976923,-0.640951328,1.368625314,-2.478257963,0.651688224,-1.49582498,0.413355958,Bingkai
1,1,0,8,8,8,8,8,7,7,7,7,7,8,1,1,1,1,0,0,8,8,8,1,8,8,7,7,7,7,7,7,5,4,5,5,Dada,Kepala,0.087858649,-0.13937034,-0.06405348,0.132684448,-0.015161141,0.029047267,-0.074128461,-0.163134657,0.037090761,0.125962247,0.009367413,0.027058895,-0.352933625,-0.021236766,2.691757987,-0.312570054,0.934812345,-2.253181251,0.415132384,-0.664353508,0.357510215,Bingkai
0,0,8,8,8,8,3,7,8,7,7,1,1,1,1,0,0,8,3,5,1,1,8,1,6,7,7,7,7,4,5,5,5,5,1,0,Dada,Dada,0.068829407,-0.171926954,-0.073168152,0.120074568,-0.015698921,0.026362424,-0.071225791,-0.18175374,0.03964141,0.100998951,0.014982428,0.027973858,-0.324248156,-0.019201021,2.469586625,-0.001124642,0.621699397,-2.366654473,0.178207511,-0.179857357,0.328650456,Bingkai
8,1,8,8,8,8,3,7,7,7,7,7,7,1,2,0,1,1,0,1,1,1,8,8,5,7,7,7,7,7,7,0,5,3,4,5,Dada,Dada,0.076078595,-0.180053526,-0.033421338,0.124168738,-0.004047192,0.026565623,-0.059756272,-0.194770937,0.008878928,0.113083304,-0.000417155,0.024665941,-0.423451338,-0.026366695,2.485722892,-0.472979322,1.002870773,-2.301801113,0.786985482,-0.952415183,0.425319437,Bingkai
0,3,0,3,2,0,7,7,5,0,3,0,0,0,4,0,0,0,6,6,4,5,7,7,0,7,3,2,3,4,4,5,6,7,3,8,Perut,Kepala,0.011666667,0.010833333,-0.093611111,0.178333333,-0.0225,0.037777778,-0.041944444,-0.255833333,-0.023333333,-0.208055556,-0.003333333,-0.071388889,-0.293333333,-0.774722222,-0.769350054,-0.251948396,-0.567717693,-2.004762056,-2.915534097,-1.331688614,0.838381287,Bingung
7,0,0,5,3,1,7,0,3,0,3,3,0,3,3,0,1,0,0,0,3,4,4,7,7,8,1,1,3,3,5,4,5,6,7,8,Perut,Dada,0.074212963,-0.000532407,-0.144544753,0.17412037,-0.047013889,0.045771605,-0.047276235,-0.257384259,-0.015092593,-0.206890432,-0.001759259,-0.074205247,-0.273703704,-0.792631173,-0.157644635,-1.180157079,-1.309713346,-2.203080995,-2.76295421,-1.736062253,0.843487231,Bingung
3,0,0,0,0,1,3,1,0,8,0,0,0,0,0,0,5,1,0,5,4,3,4,5,5,6,7,8,8,1,2,2,3,3,4,4,Perut,Kepala,0.088120535,-0.029390843,-0.135157828,0.18699392,-0.036841832,0.046547663,-0.04552259,-0.258092117,-0.008954547,-0.205931243,0.006665309,-0.075381331,-0.296175697,-0.76838166,0.638075832,-0.83632599,-0.711370694,-2.19395363,-3.096485339,-3.085365494,0.828798178,Bingung
