kuantKiri[4],kuantKiri[6],kuantKiri[8],kuantKiri[10],kuantKiri[12],kuantKiri[14],kuantKiri[16],kuantKiri[18],kuantKiri[20],kuantKiri[22],kuantKiri[24],kuantKiri[26],kuantKiri[28],kuantKiri[30],kuantKiri[32],kuantKiri[34],kuantKiri[36],kuantKiri[38],kuantKanan[4],kuantKanan[6],kuantKanan[8],kuantKanan[10],kuantKanan[12],kuantKanan[14],kuantKanan[16],kuantKanan[18],kuantKanan[20],kuantKanan[22],kuantKanan[24],kuantKanan[26],kuantKanan[28],kuantKanan[30],kuantKanan[32],kuantKanan[34],kuantKanan[36],kuantKanan[38],stateKiri[4],stateKiri[6],stateKiri[8],stateKiri[10],stateKiri[12],stateKiri[14],stateKiri[16],stateKiri[18],stateKiri[20],stateKiri[22],stateKiri[24],stateKiri[26],stateKiri[28],stateKiri[30],stateKiri[32],stateKiri[34],stateKiri[36],stateKiri[38],stateKanan[4],stateKanan[6],stateKanan[8],stateKanan[10],stateKanan[12],stateKanan[14],stateKanan[16],stateKanan[18],stateKanan[20],stateKanan[22],stateKanan[24],stateKanan[26],stateKanan[28],stateKanan[30],stateKanan[32],stateKanan[34],stateKanan[36],stateKanan[38],tanganKiri,tanganKanan,SRERX,SRERY,ERWRX,ERWRY,WRHRX,WRHRY,SLELX,SLELY,ELWLX,ELWLY,WLHLX,WLHLY,HRHLX,HRHLY,SSSRER,SRERWR,ERWRHR,SSSLEL,SLELWL,ELWLHL,DisHRHL,stringnamagerakan
0,0,3,0,0,0,0,7,0,0,0,0,3,7,3,0,3,7,1,0,4,0,8,0,0,0,0,0,0,0,0,0,8,4,0,8,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.195428571,0.030856076,-0.226284198,0.195089764,-0.013359653,0.013133089,-0.045587302,-0.264359948,-0.000246277,-0.228052238,0.000158182,-0.037971429,-0.336444243,-0.790039758,-2.83263323,-0.892881808,2.813541367,-2.16996194,-3.057096364,-3.227305384,0.858719753,Hormat
0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,8,0,0,8,5,0,0,8,5,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Unknown,Open,Open,Perut,Kepala,0.185428571,0.030857113,-0.216285672,0.189030271,-0.026204435,0.024809252,-0.051266314,-0.266509999,-6.84E-06,-0.224112562,4.39E-06,-0.03883254,-0.33351234,-0.794723327,-2.836459287,-0.908259873,1.263665519,-2.202184985,-3.035906436,-3.231240025,0.861889114,Hormat
3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Unknown,Open,Open,Open,Open,Open,Open,Open,Unknown,Unknown,Unknown,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.187373016,0.032523809,-0.218230158,0.193306396,-0.026283457,0.020966924,-0.050035175,-0.2718475,-0.000555746,-0.213725349,-0.000833211,-0.044412015,-0.333708676,-0.797353426,-2.820666172,-0.922088784,-0.095520716,-2.178099855,-3.047149655,-2.725012041,0.864384955,Hormat
0,0,0,7,4,7,3,1,1,0,7,3,0,0,0,0,7,7,0,0,0,0,5,3,0,3,3,0,7,0,0,0,0,0,3,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Unknown,Unknown,Open,Open,Unknown,Open,Open,Open,Open,Open,Open,Open,Open,Unknown,Open,Open,Open,Perut,Kepala,0.187704806,0.027847884,-0.217728615,0.194536289,-0.026841207,0.023915748,-0.041667644,-0.271995764,-0.003070993,-0.216770149,-2.31E-05,-0.040122556,-0.327325241,-0.798815373,-2.859193057,-0.901871603,1.217869341,-2.141591538,-3.089969792,-1.990664013,0.863296997,Hormat
0,0,7,3,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.185214022,0.029940219,-0.222436906,0.193181564,-0.0243567,0.030664326,-0.045324101,-0.274499882,-0.003418639,-0.217965837,-0.000278421,-0.036392293,-0.326870146,-0.806355983,-2.854653234,-0.90026302,2.978675537,-2.1670631,-3.07917142,-3.015426447,0.870103102,Hormat
0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Unknown,Unknown,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.185144834,0.030831673,-0.216178803,0.185366155,-0.030676575,0.030851787,-0.050425669,-0.276791663,0.006571704,-0.226610162,-0.002785512,-0.03934423,-0.324357504,-0.810454333,-2.885829461,-0.898782256,3.147561749,-2.124085702,-3.016341483,1.037778205,0.872965126,Hormat
0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Open,Open,Unknown,Open,Unknown,Open,Open,Open,Open,Open,Open,Open,Open,Open,Unknown,Perut,Kepala,0.185142912,0.024189769,-0.216004967,0.19514906,-0.030296572,0.030023661,-0.041400713,-0.277688657,-0.006484119,-0.211850282,0.006589291,-0.036092895,-0.319565486,-0.802234843,-2.903089703,-0.889226981,2.660950963,-2.142289199,-3.110749414,-2.889275337,0.863545039,Hormat
0,1,0,0,0,3,3,0,0,0,0,7,7,0,7,3,0,0,0,0,0,0,0,7,7,0,0,0,0,0,3,5,0,1,5,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Unknown,Open,Open,Open,Open,Open,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Open,Open,Unknown,Perut,Kepala,0.185142859,0.021505271,-0.216000138,0.195420807,-0.036397127,0.028056213,-0.04115002,-0.277713574,-0.006569003,-0.214495841,0.005460814,-0.037669247,-0.314432375,-0.804784301,-2.931894797,-0.875338693,-1.590252802,-2.1458137,-3.111654222,-3.051163027,0.86412527,Hormat
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Unknown,Unknown,Open,Unknown,Open,Unknown,Unknown,Unknown,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Perut,Kepala,0.185142857,0.022541813,-0.216000004,0.195428356,-0.021011031,0.030223784,-0.041143056,-0.277714266,-0.000182472,-0.205958218,0.000151689,-0.051046368,-0.328734233,-0.811799564,-2.920406067,-0.881007513,2.861031429,-2.144704063,-3.080949138,-3.226347182,0.87584433,Hormat
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Not tracked,Open,Open,Open,Unknown,Open,Unknown,Open,Open,Unknown,Unknown,Open,Open,Open,Open,Unknown,Open,Unknown,Open,Perut,Kepala,0.185142857,0.020626161,-0.216,0.195428565,-0.023361418,0.03083955,-0.041142863,-0.287714285,-5.07E-06,-0.206276617,4.21E-06,-0.041140177,-0.326353729,-0.802827766,-2.937385624,-0.87056942,3.028543893,-2.075153363,-3.085277519,-3.231213409,0.866635632,Hormat
